AFH9,10441.0,17.26
AFM9,10314.61,9.52
ALH9,9930.6,17.07
AUH9,0.71,10.97
ALM9,9857.22,11.51
BRG9,61.25,11.82
BRH9,63.81,19.49
BRJ9,63.95,18.89
BRK0,65.31,7.04
BRM9,64.43,15.93
CFH9,1.0,9.83
CAH9,1.32,10.9
CHH9,98034.85,18.01
BRZ9,67.32,3.02
BRK9,64.23,17.58
BRN9,65.59,8.08
CHM9,96697.3,0.95
CLH9,55.15,15.64
CYH9,9.5,0.0
CLG9,54.66,15.49
CLM9,52.16,0.0
CLJ9,57.18,3.85
EDH9,1.14,11.33
EDM9,1.14,10.83
EDU9,1.15,0.0
EuH0,78911.04,0.0
EuH9,75595.88,11.76
FSH9,16583.8,11.88
EuZ9,81452.1,0.0
EuM9,77111.7,11.59
GDM9,1329.98,14.28
GDH9,1319.03,14.77
GDU9,1342.97,14.23
GMM9,140020.92,10.87
GMH9,138967.0,16.52
GOG9,2938.36,0.97
GUM9,1.31,10.07
GUH9,1.31,12.08
GZH9,15976.42,16.22
GZM9,16223.45,16.01
GZU9,15671.88,12.39
HYH9,5137.55,11.2
JPM9,108.7,0.0
GZZ9,16273.63,3.97
JPH9,109.91,11.49
HYM9,5185.76,8.42
LKH9,53940.23,15.45
LKM9,54785.65,14.27
MEH9,9184.4,14.52
MEM9,8561.8,10.37
MMH9,2489.57,12.27
MMZ9,2460.53,10.0
MMM9,2510.72,10.26
MNH9,4119.52,20.68
MNM9,4166.75,16.46
MTH9,25904.08,15.48
MTM9,26436.75,0.0
MXM9,249165.62,11.65
MXH9,248966.25,12.26
O4H9,10098.0,0.0
O2H9,10227.14,6.9
O6H9,10479.51,6.01
NMH9,15310.5,15.34
NKH9,110430.57,13.58
OVH9,9784.93,10.21
OXH9,10056.2,10.08
PTH9,818.88,12.34
PDU9,1330.0,0.0
PTM9,827.68,12.08
PDM9,1364.25,23.2
OVM9,9936.73,10.49
PDH9,1389.81,22.69
PTU9,822.49,0.0
RIH0,114655.2,0.0
RIH9,117436.0,13.94
RIU9,119874.3,1.17
RIM9,117062.5,12.13
RNH9,41129.15,13.99
RNM9,41697.56,9.62
RNU9,43623.18,0.98
RRG9,87.86,0.0
SAH9,18.75,3.86
RTH9,7387.15,12.78
SiH0,70162.73,8.58
SGH9,40869.32,12.62
SiM0,70644.04,1.59
SiH9,71305.05,24.39
SiM9,67176.82,11.21
SiU0,71842.5,9.58
SiZ0,72210.0,8.0
SNM9,27050.0,10.0
SiU9,67913.6,10.8
SNH9,27157.83,14.6
SiZ9,68796.05,10.99
SPH9,18120.5,15.17
SPM9,17745.55,11.05
SRH9,20986.22,16.79
SRU9,20508.83,9.03
SRM9,20593.35,17.43
SRZ9,20142.76,7.94
SVM9,16.02,10.54
SVH9,15.73,14.76
SVU9,15.75,2.19
TNH9,172010.05,10.72
TRH9,5.68,0.0
TTM9,79908.55,1.0
TTH9,78981.85,13.43
USM9,2113.25,9.03
USH9,2083.41,15.81
VBM9,3629.63,13.12
VBH9,3699.55,13.83
VIH9,22.25,0.0
